项目,学科,分数,等第,A等分数线,年级最高分,A等达成率,历次考试最高等第
101高一上期中,语文,0,B,50,,0.00%,
101高一上期中,数学,,A,,,100.00%,
101高一上期中,英语,,B,,,,
101高一上期中,政治,,B,,,,
101高一上期中,历史,,,,,,
101高一上期中,地理,,,,,,
101高一上期中,物理,,,,,,
101高一上期中,化学,,,,,,
101高一上期中,生物,,,,,,
101高一上期中,信息技术,,,,,,
101高一上期中,三总,,,,,,
101高一上期中,全总,,,,,,
102高一上期末,语文,68,A,,,,
102高一上期末,数学,74,B,,,,
102高一上期末,英语,67,D,,,,
102高一上期末,政治,63,C,,,,
102高一上期末,历史,77,B,,,,
102高一上期末,地理,83,A,,,,
102高一上期末,物理,72,A,,,,
102高一上期末,化学,83,C,,,,
102高一上期末,生物,76,A,,,,
102高一上期末,信息技术,91,A,,,,
102高一上期末,三总,209,B,,,,
102高一上期末,全总,754,A,,,,
103高一下期中,语文,67,B,,,,
103高一下期中,数学,81.5,A,,,,
103高一下期中,英语,68,D,,,,
103高一下期中,政治,68,A,,,,
103高一下期中,历史,57,C,,,,
103高一下期中,地理,70,B,,,,
103高一下期中,物理,81,A,,,,
103高一下期中,化学,50,D,,,,
103高一下期中,生物,59,B,,,,
103高一下期中,信息技术,75,B,,,,
103高一下期中,三总,216.5,B,,,,
103高一下期中,全总,677,A,,,,
104高一下期末,语文,62,B,65,,,
104高一下期末,数学,69,C,,,,
104高一下期末,英语,59,C,76,,,
104高一下期末,政治,68,B,,,,
104高一下期末,历史,49,E,,,,
104高一下期末,地理,73,C,80,,,
104高一下期末,物理,82,A,,,,
104高一下期末,化学,59,C,,,,
104高一下期末,生物,74,A,,,,
104高一下期末,三总,190,C,,,,
104高一下期末,全总,595,B,620,,,